"event_name","AQT0","AQH0","AQP0","A1","A2","A3","A4","A5","A6","A7","A8","B1","B2","B3","B4","B5","B6","B7","B8","C1","C2","C3","C4","C5","C6","C7","C8","D1","D2","D3","D4","D5","D6","D7","D8","E1","E2","E3","E4","E5","E6","E7","E8","F1","F2","F3","F4","F5","F6","F7","F8","G1","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","H5","H6","H7","H8","target_ppb"
"AmbientSamplingRFC","22.769353732125367","19.434395794197847","1018.3394816121885","195.0569768018285","1369.8421915651822","2022.7197618549544","6623.094840795174","6514.406137762754","4471.446997942677","8984.755809180979","7138.984706177317","856.9979347338041","15083.71865758067","741.6369382847387","658.6271635566031","529.7733476519874","682.6198499495728","541.8076455835283","764.8523348182893","336.3427240318773","2978.3033307251667","1491.6686458842862","481.98698321550495","68023.26617798072","47287.05517540929","15468.467018840982","14767.285228501614","449.5411614945085","143.64319540413464","357.4242703689138","283.4152098795924","119.23458447899567","138.54976580570326","139.34667062407354","166.99640750444138","356.43861269698283","339.05244846219415","319.8579555568801","288.26506092750446","1487.7138826978012","1160.439506049611","443.83059565448116","554.6815112117213","342.673735298019","690.6953784580568","15427.421168262817","15999.747439378874","438.6428843358109","1048.6660466449996","444.5445457918103","191.58569622375634","53549.17930801036","51635.977866546265","52449.89787233357","61108.583849257004","219.48983199425797","513.0108729652732","399.89790010057555","271.660006342332","19341.692908692214","17370.30651441856","14940.497615615875","16528.329670182437","9161.968081989651","8083.341707305846","8323.88117472479","8838.123813309654","5"
"AmbientSamplingRFC","22.76164787135344","19.506237150140795","1018.5412129121846","195.03942009960255","1369.1454169668234","2026.9981889822295","6621.0142357669665","6512.758126457895","4471.771030459019","8982.852997447555","7137.246309462871","856.598291197442","15102.26675392048","741.2843843993577","660.4675727573867","529.374212710551","681.9831936457654","541.5539117571041","767.7613849852139","336.30702454061975","2978.8312141884116","1493.4859519622682","481.8975359512084","68024.91388843983","47270.91519811295","15465.469718404865","14765.594307850577","449.1028068470083","143.64221853307444","357.29962408105666","283.36631582197697","119.22666731188698","138.49918924837206","139.2881343831313","166.9590743653718","356.2961182551655","338.93891028630793","319.78777942387313","288.1790578853847","1487.6254963975707","1160.0495303708658","443.6378327291119","554.5662135802019","342.63710346121974","692.3110586566129","15425.72218458178","15991.700105227963","438.4067283440742","1050.9152535764294","443.94070120123416","191.5616438102708","53533.782346478474","51609.40407602541","52435.8841228656","61091.29498741884","219.4588965426004","513.3505690759093","399.8213366708509","271.53725829890146","19342.657425171146","17362.888178924353","14936.83526457031","16522.133236909503","9158.422028125351","8078.846122602132","8321.797999954275","8835.925886604515",
"AmbientSamplingRFC","22.757548224765863","19.736349611714974","1018.7961874750521","195.13822885699653","1366.5160875372485","2010.9157733097284","6626.545136558406","6517.208199667395","4476.716928051173","8990.19908939626","7143.676855851424","856.9683511156813","15112.655945223602","741.9144138416317","659.5723496197257","529.6443784115052","682.6713414894671","542.2909733013581","768.3184497165415","336.386795625551","2976.822361561341","1494.849894091862","481.9847234519349","68081.12210169858","47317.07003935905","15478.886214536315","14778.926521396783","450.5494452394661","143.75088253288666","357.5706783513284","283.55560578585346","119.29699004376363","138.58309704760637","139.47370477135087","167.1020894202628","356.6421548180263","339.2325084977593","320.0640244351568","288.43960724807494","1488.822058254394","1161.024666658693","444.09470111746674","555.026253616564","342.8270317528142","692.3623385078814","15434.609314255607","16002.626821322705","438.86696242812116","1050.277130092573","444.4944611585791","191.73704204316218","53578.57185343134","51661.507509594245","52479.03961291942","61141.631007095944","219.66097782762276","513.4184886756825","400.20969422674017","271.72623275160015","19359.99853176083","17375.49572902839","14951.151939243418","16539.562025492476","9167.693641445896","8086.171955563771","8329.827945191384","8843.803133318357",
"AmbientSamplingRFC","22.778516202543397","19.526943756140806","1018.8248751973297","195.25030793085537","1371.8276296021331","2007.6488606101489","6628.951237336443","6520.956291632029","4477.2980032461255","8993.019479955425","7146.858993735064","857.3537983860533","15053.99466660831","742.6228091772257","659.3378303334359","530.024398394333","683.2204973207253","541.9541133897839","767.6466659758894","336.5228483847477","2985.348398998744","1491.9009064960183","482.56675339448657","68094.67654433897","47325.62395608219","15483.29942633609","14781.996551184815","449.86456382634594","143.78714625873226","357.6348716997889","283.7168941525943","119.38319765956115","138.65623916297682","139.4775214734571","167.14635043702174","356.75619016053315","339.37618118669496","320.15721213654854","288.569606179767","1489.23309055408","1161.6013490449045","444.2256248788798","555.2147327784064","342.9551976143123","691.9299113323694","15439.855663858316","16007.485974608306","439.14679276007473","1050.0701800518932","444.1018643037522","191.7263333574942","53599.38797878546","51676.253483588094","52494.84314004168","61164.32992390639","219.72939834273086","513.919337704973","400.54540813535937","271.9750440568747","19370.01426570522","17384.8574002057","14953.961235526876","16543.07979856787","9170.712377260814","8088.327742291386","8331.038183686978","8845.954370485955",
"AmbientSamplingRFC","22.753890834953843","19.501056136634833","1018.6555461622063","194.86529926376173","1367.7787251332588","2017.7750215551162","6615.814865048385","6507.66926331256","4469.083537856848","8975.16640825827","7131.246385224987","852.0276545956202","15114.401028472768","740.8530094100397","658.274608791374","529.4475502219344","683.022903234548","541.5117227968373","765.6122606739983","335.86608974842636","2977.3158913989264","1486.320392351544","482.0420794270683","67970.93116090081","47234.109648246456","15453.138877075085","14755.79243500093","449.00387242018104","143.49465150694536","357.3882349335792","283.2097277335616","119.10366619481816","138.3692993198983","139.23456349895014","166.79757807611102","356.0737200465897","338.6926393879137","319.5506244575363","288.0067620578139","1486.3469589622564","1159.203247792326","443.3534721583775","554.1558917853877","342.44984760158223","692.3006416949411","15409.152563713204","15978.509976648222","437.928165712517","1049.0177558305995","444.2921492485719","191.36558918174813","53498.891063049115","51582.843625708425","52398.155488670935","61041.41380986848","219.2695675297786","512.5325557554951","399.1048287310342","271.3543518024336","19324.250668241235","17352.790071612857","14924.817505622874","16510.756171199064","9152.54318459732","8073.198472398543","8315.934743203921","8828.923914830875",
"AmbientSamplingRFC","22.767427716940908","19.48692172163131","1018.6106471385424","195.14353142086833","1372.7052976990133","2019.8172127959467","6624.78543516388","6516.270238253567","4474.222224056231","8987.62803907089","7141.154844086212","855.6600976298153","15057.978262549601","741.5802661701194","659.6417715894231","530.0005127928858","682.1363872266971","542.5408834733186","768.489979018514","336.4875842640208","2969.9094242067326","1489.4778715999441","482.4269901625331","68051.89330737155","47300.33707113186","15472.857480494484","14774.618151612744","448.4400822690028","143.72646815822134","357.483471396168","283.4898087524496","119.27671745992801","138.56274626791847","139.40344597885357","167.0512980726638","356.56465825857276","339.1356153968213","319.93293333667543","288.3592144152975","1488.3577466224028","1160.735825940934","443.97436421996827","554.8558413213806","342.90019617082606","693.2359848583326","15431.75052259172","16005.323057885436","439.10828270601155","1046.070416722749","444.3838996234301","191.5550257001269","53558.846751376834","51645.571820030804","52466.98343193598","61127.440073267026","219.59848817642373","512.8949334819029","400.27315393012316","271.74158673496464","19344.032363721784","17371.654659559583","14946.647608377778","16533.270880137727","9164.778734473146","8083.7257464895765","8326.696555429004","8841.341572799052",
"AmbientSamplingRFC","22.765757957001536","19.65629084788509","1018.8014307445916","195.00823016625958","1372.600133299243","2021.4359505534183","6620.129505691514","6512.785921428326","4470.424912389517","8982.22124015669","7136.76185492834","857.0229529568139","15129.732120025737","741.2954133296978","659.2441782731676","529.8814228219505","682.3029206903499","541.8441660552647","768.426792066861","336.21714123130556","2971.2557380466533","1486.6726211117862","481.7383765388681","68008.07538086767","47269.9131522756","15464.394169019231","14763.218006092588","448.8629201832479","143.59125124511743","357.80048363551333","283.30362598695626","119.2192981049418","138.44966053702177","139.31645235720276","166.93024440408504","356.31124798957325","338.92806981154104","319.7344611508215","288.21260705245777","1487.4533575392225","1160.0107216994163","443.6559306565759","554.5396220219509","342.6368832015165","692.7453616190412","15421.281129882445","15989.788044576571","438.19530858580515","1048.1911672174383","444.35494781116313","191.38538772397243","53533.05745667567","51621.362366244284","52428.89908501628","61081.84765256601","219.44444612104408","513.5415314576436","399.6310006185441","271.57750969663374","19333.870243321944","17362.726552008797","14937.281215895724","16522.4527309606","9159.17891085482","8080.205511332428","8321.084143203052","8836.542666270305",
"AmbientSamplingRFC","22.77332500271658","19.531874613089116","1018.56921263677","195.06613762378146","1368.276187747732","2009.6538791132696","6621.338782823264","6512.777809246106","4470.230139055273","8982.729455341323","7137.075173949888","855.1616697114614","15125.786456919044","741.5525549178893","659.2667968631616","529.4515905128146","680.3950848315081","541.5473734018401","767.5282982349173","336.04979988164615","2996.000626781424","1489.820367350571","481.92644720058746","68016.86939603713","47266.69101201315","15465.692602714116","14764.568454734463","449.1769628280596","143.66383777831166","357.5836478818441","283.5304022400534","119.17040720084431","138.53754443668845","139.3240349131031","166.9605553540753","356.35126102228696","339.00274432123945","319.77061981512475","288.1689800287918","1487.5975491597776","1160.1028900853628","443.647618125854","554.5494783311084","342.58093760184306","690.9045144129178","15421.104269480888","15991.828169072329","438.44524025749064","1048.211936331668","444.6272901654552","191.49874681320344","53537.4734141347","51616.18292607296","52432.238651099666","61088.20969926287","219.40803522340738","513.3357890739918","399.7034337269094","271.54498746185203","19338.918517556653","17365.151552664396","14936.141724808385","16523.03622231104","9158.468281991089","8079.657422267611","8322.290154738914","8835.96947321618",
"AmbientSamplingRFC","22.768326759466223","19.63184403773161","1018.8190683342824","194.77152076660573","1365.1950423462","2016.7057986966702","6613.262103764997","6504.254629628494","4466.8094942477255","8971.539107554903","7129.285075186222","854.2261292418887","15120.123814525967","740.4277008543742","658.5411520263112","528.6590095204753","681.5551732467374","540.9287935350533","766.8195601678967","335.8557475941394","2968.822121920046","1486.4218357917532","481.3078893664845","67940.71182352315","47216.963490937065","15448.304539538103","14747.235092956931","448.8937855169945","143.4086395990846","357.0114118416785","283.1969852514708","119.01488793143592","138.33632921535013","139.18314323369876","166.73878796053134","355.9219388014995","338.58745202849605","319.4197451469042","287.8402838386415","1485.7544673423372","1158.912089981345","443.1600373162291","553.9063928915401","342.13213459131913","691.4830050027127","15398.6416358776","15973.386821394715","438.21227606235067","1047.1720809003532","444.460808045089","191.27039655350126","53475.512093793746","51563.14370124883","52377.03644964142","61013.049923137645","219.2022171556028","513.0552932026542","399.38183066764714","271.11202711953416","19319.165003060803","17340.10789406327","14920.356376635615","16505.167255241628","9148.742209610136","8070.350500575399","8312.01373422525","8826.395151730494",
"AmbientSamplingRFC","22.768512413382982","19.58443445555856","1018.6757263262293","194.92933387316572","1368.0772471561625","2025.7630994014785","6619.9341904056355","6511.5628753854535","4470.592732726979","8981.033812865237","7136.231024467549","854.992547135228","15098.23557931816","741.489725020039","658.821822653475","529.384413530899","683.492059089611","542.111434315646","765.4906546147137","336.11439801020083","2977.8155757653767","1487.4347716544116","481.77820768085513","67998.10480398279","47265.403544208915","15461.776125860393","14762.46380994008","449.26246039122486","143.59466863860578","357.0627536261007","283.33046175162923","119.18370731029891","138.48608105179585","139.30758475168884","166.91284421562986","356.2548701784034","338.92790563333267","319.7185102408996","288.0980183051947","1487.0707378820478","1159.849409969295","443.6115893661435","554.4558182712478","342.38742339863205","690.714549834878","15416.628028222538","15982.792904677455","438.11159156017857","1049.8354755586602","444.5372350913498","191.4478301051335","53527.74789029778","51604.62699898404","52424.13558768341","61074.11606874447","219.35115763140732","512.9742319606542","399.69337079814466","271.4522727849679","19324.570284934143","17357.837574236204","14932.736353385248","16519.74466676903","9157.52401708794","8080.0527601868","8319.925438083188","8834.097289195823",
